GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
20018,ZCTA5 20018,9090,39.7,19943,15933,277,31,1338,844,278,999,64530
20037,ZCTA5 20037,7150,27,14559,1066,1736,0,1752,288,91,2155,89475
20118,ZCTA5 20118,2,70.3,8,8,0,0,0,0,0,NA,NA
20119,ZCTA5 20119,2413,43.5,4235,32,73,0,112,347,200,1454,89450
20130,ZCTA5 20130,123,55.6,212,0,0,0,0,38,9,NA,59719
20132,ZCTA5 20132,9373,37.8,18617,904,504,4,1550,1205,867,1380,138687
20152,ZCTA5 20152,16942,35.4,34191,2315,12099,11,2637,2429,1244,2205,157615
20155,ZCTA5 20155,16888,36.9,35107,4125,4256,12,4028,3383,1510,2205,131184
20615,ZCTA5 20615,158,42.4,329,0,0,0,0,24,27,NA,109375
20646,ZCTA5 20646,10153,41.7,20974,4853,563,0,686,1610,1097,1374,101484
20657,ZCTA5 20657,9528,38.2,18963,2504,154,0,526,1431,1274,1496,93053
20664,ZCTA5 20664,1734,36.8,3501,779,21,0,89,272,147,1348,81875
20690,ZCTA5 20690,416,58.2,753,42,0,0,0,39,12,1324,70313
20722,ZCTA5 20722,3024,37.1,6022,1907,377,30,2891,507,124,1310,77977
20745,ZCTA5 20745,13261,35.3,28472,20402,1046,38,5418,1997,1069,1284,59100
20751,ZCTA5 20751,1163,47.3,2240,38,0,1,63,212,85,1236,93061
20763,ZCTA5 20763,922,32.4,2113,566,117,0,150,132,55,1462,71250
20776,ZCTA5 20776,1485,44.4,3149,505,0,0,27,200,48,1739,91707
20778,ZCTA5 20778,960,49.2,1972,24,0,0,134,264,100,NA,123984
20812,ZCTA5 20812,161,39.1,325,16,13,0,2,5,2,2750,220313
20816,ZCTA5 20816,7956,44.9,16367,355,1055,0,1033,403,101,2314,204432
20852,ZCTA5 20852,21570,38.4,46904,4766,8797,14,6433,2325,345,1869,95572
20861,ZCTA5 20861,872,49.3,1665,274,133,0,72,159,9,NA,204167
20871,ZCTA5 20871,10124,35.9,20008,3902,6147,0,2165,1766,751,2164,132277
20001,ZCTA5 20001,22598,31.4,46716,19287,3327,6,4177,1190,294,2021,109318
20020,ZCTA5 20020,24907,33.4,56131,51268,515,11,1984,2398,491,1055,36075
20105,ZCTA5 20105,10399,34.4,21385,2409,5625,29,1579,1516,867,2162,153314
20166,ZCTA5 20166,5780,33.7,11304,876,3611,18,2831,582,189,1826,105248
20175,ZCTA5 20175,16552,37.3,33723,2324,1595,19,2914,2043,421,1621,132594
20186,ZCTA5 20186,7030,41.9,15049,1177,382,0,967,1122,566,1242,84327
20191,ZCTA5 20191,14433,39.6,30069,3921,2866,0,4327,1508,491,1767,116842
20194,ZCTA5 20194,5917,41.3,12421,420,1454,0,670,666,160,1916,128859
20601,ZCTA5 20601,12896,36.5,26401,13650,835,8,1844,3344,1546,1803,101269
20626,ZCTA5 20626,129,50,335,0,0,0,0,16,43,NA,94667
20650,ZCTA5 20650,7317,42.2,14096,1157,521,0,341,298,247,1057,98443
20662,ZCTA5 20662,1497,45.8,2994,920,0,0,0,240,109,1242,71979
20667,ZCTA5 20667,357,50,701,333,0,0,0,14,0,1120,42500
20680,ZCTA5 20680,426,28.9,745,122,0,0,0,16,0,1419,80000
20692,ZCTA5 20692,715,47.7,1273,14,0,0,0,21,9,NA,131888
20715,ZCTA5 20715,12747,41.8,26768,8283,1562,0,2735,1845,410,2224,114967
20716,ZCTA5 20716,10027,41.2,22083,13785,1286,0,1264,2048,544,1791,99319
20721,ZCTA5 20721,13992,43.9,29811,25188,341,0,1072,2705,374,2127,127875
20815,ZCTA5 20815,14553,46.3,30512,1604,1761,4,2217,831,66,2117,154734
20732,ZCTA5 20732,4586,36.5,9664,941,82,0,250,1338,333,1696,100567
20735,ZCTA5 20735,18825,41.4,39323,33358,709,24,2587,3363,1090,1920,108686
20743,ZCTA5 20743,17945,38.1,39234,33952,138,0,3616,2692,898,1271,63550
20842,ZCTA5 20842,807,50.8,1712,86,24,0,15,205,74,1188,105721
20850,ZCTA5 20850,23986,40,51568,6640,12151,11,4923,3792,512,2044,110102
20862,ZCTA5 20862,159,51.3,327,0,0,0,77,12,0,NA,150592
20866,ZCTA5 20866,7610,35.6,16171,7938,2748,0,1806,986,258,1840,98139
20874,ZCTA5 20874,29786,35.1,61045,14454,8169,9,15075,4324,1703,1680,90273
20876,ZCTA5 20876,13853,34.8,28919,6597,6654,0,6564,2530,799,1778,94891
20878,ZCTA5 20878,31695,39.4,64126,6501,16507,0,8053,4619,1089,1808,127653
20882,ZCTA5 20882,6769,46,13450,916,970,0,1675,896,307,1897,147957
20794,ZCTA5 20794,10092,37.5,16601,6887,883,0,1382,449,276,1550,93872
20814,ZCTA5 20814,13654,40.9,28930,1560,2894,0,2513,931,155,1950,126077
20838,ZCTA5 20838,137,52.3,252,0,2,0,24,25,0,NA,120000
20877,ZCTA5 20877,19378,34.9,38885,7210,4984,5,16486,3095,876,1564,68896
20895,ZCTA5 20895,9497,42.8,19637,1244,1187,16,2626,1107,222,1613,144054
20896,ZCTA5 20896,465,44.1,929,27,14,0,107,41,2,NA,186528
20906,ZCTA5 20906,32799,40.8,70174,17073,9022,61,23194,5001,1129,1703,74598
20011,ZCTA5 20011,33398,36.8,68695,40072,1411,15,15942,2756,685,1213,71569
20006,ZCTA5 20006,1211,19.7,2756,312,384,8,285,4,0,1760,46319
